Year	MonthCount	Min-s_78Balance	Max-s_78Balance	Q1-s_78Balance	Q2-s_78Balance	Q3-s_78Balance	Mean-s_78Balance	StdDev-s_78Balance	Skew-s_78Balance	Kurt-s_78Balance	Min-s_78Networth	Max-s_78Networth	Q1-s_78Networth	Q2-s_78Networth	Q3-s_78Networth	Mean-s_78Networth	StdDev-s_78Networth	Skew-s_78Networth	Kurt-s_78Networth	Min-s_78Reserves	Max-s_78Reserves	Q1-s_78Reserves	Q2-s_78Reserves	Q3-s_78Reserves	Mean-s_78Reserves	StdDev-s_78Reserves	Skew-s_78Reserves	Kurt-s_78Reserves	Min-s_78Debts	Max-s_78Debts	Q1-s_78Debts	Q2-s_78Debts	Q3-s_78Debts	Mean-s_78Debts	StdDev-s_78Debts	Skew-s_78Debts	Kurt-s_78Debts	Min-s_78Equity	Max-s_78Equity	Q1-s_78Equity	Q2-s_78Equity	Q3-s_78Equity	Mean-s_78Equity	StdDev-s_78Equity	Skew-s_78Equity	Kurt-s_78Equity
2028	  12	-1862.980191723	-1721.570019095	-1830.277997075	-1791.473342427	-1753.149731707	-1791.785135189	46.350790003	-0.016862718	1.783517093	-118358.982925667	-93331.513625222	-112553.589503231	-105678.518308614	-98903.482171224	-105743.356906598	8203.339944830	-0.019813816	1.783643668	137544.014312506	142791.632009773	138718.178824863	140141.328249357	141580.374203188	140151.631707030	1720.040593129	0.015016262	1.783458390	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	70366.382293363	73673.613579399	71104.898660284	72001.168413010	72908.735551497	72008.490911816	1084.029335305	0.016933123	1.783519605
2029	  12	-2024.804261294	-1876.159275855	-1990.428960303	-1949.638985877	-1909.354666498	-1949.966730548	48.722184388	-0.016862718	1.783517093	-147244.966031106	-120701.689570515	-141087.276820043	-133795.498805155	-126610.415073817	-133864.653637664	8700.190785808	-0.019925907	1.783644802	132057.631973644	137077.466943512	133180.873645948	134542.267824113	135918.830585284	134552.099457439	1645.379003939	0.014978807	1.783457251	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	66927.581918513	70073.189033808	67630.007040202	68482.476150331	69345.690543738	68489.440799113	1031.052894523	0.016933123	1.783519605
2030	  12	-2194.907557387	-2038.657612382	-2158.773550757	-2115.896683825	-2073.551342212	-2116.241196536	51.214903810	-0.016862718	1.783517093	-177888.656762002	-149729.944591405	-171355.713361451	-163619.924156206	-155997.757550671	-163693.569636141	9229.697097170	-0.020002405	1.783644962	126808.835601175	131611.311025728	127883.483403982	129185.947678512	130502.886955420	129195.329761910	1574.133878092	0.014940843	1.783456098	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	63656.835486932	66648.716993852	64324.933140120	65135.742142113	65956.771306112	65142.366428977	980.665408843	0.016933123	1.783519605
2031	  12	-2373.713660944	-2209.469672209	-2335.730969957	-2290.660441137	-2246.148631481	-2291.022579772	53.835155489	-0.016862718	1.783517093	-210402.994292336	-180525.145814118	-203470.892732044	-195262.668886163	-187175.282220920	-195340.990558504	9793.193602319	-0.020048436	1.783644293	121786.769028105	126381.816221268	122815.042060558	124061.268460839	125321.308999009	124070.222199549	1506.143993268	0.014902371	1.783454933	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	60545.930213706	63391.598672403	61181.377979471	61952.562800014	62733.468323932	61958.863358424	932.740356202	0.016933123	1.783519605
2032	  12	-2561.667824112	-2389.020801198	-2521.741866567	-2474.365443955	-2427.576325639	-2474.746110289	56.589464216	-0.016862718	1.783517093	-244905.628667719	-213200.614133165	-237549.460137787	-228839.188648626	-220257.273075162	-228922.383653496	10392.099299624	-0.020068562	1.783642929	116981.087976193	121378.169988473	117965.100737919	119157.654377377	120363.392436672	119166.199959224	1441.255864202	0.014863393	1.783453755	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	57587.054672164	60293.655504482	58191.448148312	58924.945218489	59667.687941922	58930.937869033	887.157397664	0.016933123	1.783519605
2033	  12	-2759.238078982	-2577.758106712	-2717.269433675	-2667.469143367	-2618.286204957	-2667.869285313	59.484688606	-0.016862718	1.783517093	-281519.212566716	-247874.405169300	-273713.001639907	-264469.806511830	-255362.808836953	-264558.084076420	11027.921002732	-0.020066816	1.783640991	112381.935500958	116590.069581325	113323.702908744	114465.028072449	115618.937590681	114473.184717107	1379.323368086	0.014823912	1.783452564	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	54772.779179535	57347.108611030	55347.635987111	56045.287104752	56751.732041195	56050.986894866	843.802075247	0.016933123	1.783519605
2034	  12	-2966.916403057	-2776.151570978	-2922.800562204	-2870.452394529	-2818.753163647	-2870.873008497	62.528038170	-0.016862718	1.783517093	-320371.705544338	-284669.602042865	-312088.345737212	-302280.011389714	-292616.058289050	-302373.593350285	11702.257099571	-0.020046743	1.783638585	107979.918625296	112007.697595787	108881.360786950	109973.786724567	111078.225182734	109981.572730410	1320.207388178	0.014783931	1.783451360	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	52096.037141143	54544.559266287	52642.800735157	53306.357689553	53978.278709416	53311.778931307	802.565524524	0.016933123	1.783519605
2035	  12	-4635.219944340	-2984.695221403	-4588.847053343	-3083.820654058	-3029.476392405	-3688.429454102	803.753160583	-0.335627285	1.119885487	-368846.691514952	-323714.620691217	-356432.878027416	-342400.769361380	-332146.588299408	-344312.390716656	14767.660418706	-0.244231185	1.841159311	103766.086103903	107621.698699820	104629.032861101	105674.779299507	106731.993303185	105682.212088190	1263.775474759	0.014743452	1.783450144	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	49550.107306321	51878.970319722	50070.150600231	50701.279570849	51340.363855618	50706.435876884	763.344201264	0.016933123	1.783519605
2036	  12	-4864.692309109	-4653.908360774	-4815.946892998	-4758.105238693	-4700.980621475	-4758.569992452	69.089814005	-0.016862718	1.783517093	-429983.710264779	-373843.528490110	-417034.869730674	-401643.848653793	-386414.685313613	-401748.758151112	18401.291602230	-0.014291841	1.783451285	99731.907263506	103423.157489519	100558.102514876	101559.284904063	102571.415494754	101566.381062936	1209.901522563	0.014702480	1.783448915	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	47128.596891468	49343.648525878	47623.225704546	48223.511444776	48831.363723486	48228.415762480	726.039621436	0.016933123	1.783519605
2037	  12	-5105.904915572	-4884.336860397	-5054.665591459	-4993.864648343	-4933.817427292	-4994.353179787	72.624580014	-0.016862718	1.783517093	-493778.603819127	-435196.376972082	-480263.820892973	-464202.159096600	-448311.691113890	-464313.119852277	19201.737068131	-0.014486062	1.783455807	95869.251866604	99403.577416600	96660.357681717	97618.992186969	98588.079896525	97625.767509427	1158.465463901	0.014661018	1.783447675	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	44825.425527891	46932.227737754	45295.881864108	45866.831680544	46444.978259235	45871.496324572	690.558113918	0.016933123	1.783519605
2038	  12	-5359.458416774	-5126.554519386	-5305.597591594	-5241.685956834	-5178.566605992	-5242.199482474	76.340191361	-0.016862718	1.783517093	-560383.878526468	-499219.549469966	-546270.819123659	-529500.106893944	-512910.353680424	-529617.397049417	20048.089754320	-0.014665936	1.783460053	92170.370948958	95554.860735152	92927.971483395	93845.979736062	94773.969396686	93852.449259932	1109.352976694	0.014619071	1.783446423	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	42634.809994105	44638.652921525	43082.275160780	43625.322698049	44175.215292284	43629.759381236	656.810585289	0.016933123	1.783519605
2039	  12	-5625.984196312	-5381.164493510	-5569.367749094	-5502.186273804	-5435.837617180	-5502.726072390	80.245900435	-0.016862718	1.783517093	-629959.083760610	-566066.124550834	-615213.914759991	-597693.965596366	-580365.194028275	-597817.879011720	20942.470630183	-0.014832401	1.783464033	88627.878583499	91869.289418101	89353.483804665	90232.697423266	91121.442744966	90238.875467331	1062.455206707	0.014576644	1.783445159	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	40551.249694271	42457.164952463	40976.847268315	41493.356108924	42016.375489026	41497.575971702	624.712296116	0.016933123	1.783519605
2040	  12	-5906.145940565	-5648.800797130	-5846.632888457	-5776.014281388	-5706.271101569	-5776.581697095	84.351432999	-0.016862718	1.783517093	-702671.208183617	-635896.256144974	-687258.513392563	-668947.264196129	-650837.889932993	-669078.111182764	21887.119951544	-0.014986353	1.783467757	85234.734525630	88339.506996264	85929.783758505	86771.948651331	87623.216578131	86777.848850077	1017.668503277	0.014533742	1.783443884	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	38569.512846298	40382.286153878	38974.311495494	39465.578583766	39963.038041903	39469.592222134	594.182648178	0.016933123	1.783519605
2041	  12	-6200.641291369	-5930.129881984	-6138.083438566	-6063.851849533	-5990.540476271	-6064.448295305	88.667012400	-0.016862718	1.783517093	-778695.094555825	-708877.571316106	-762577.786728654	-743431.193312038	-724497.677500080	-743569.301406278	22884.402845813	-0.015128652	1.783471237	81984.227697079	84958.501275125	82650.092998671	83456.873458496	84272.348314154	83462.508795171	974.894167884	0.014490371	1.783442598	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	36684.623344935	38408.806542771	37069.639511342	37536.898410018	38010.047057860	37540.715902148	565.144982084	0.016933123	1.783519605
2042	  12	-6510.203583237	-6225.852296750	-6444.445151957	-6366.415733947	-6289.353611692	-6367.042695016	93.203385034	-0.016862718	1.783517093	-858213.874125510	-785185.586662938	-841353.102816217	-821325.030474799	-801521.771577859	-821470.745254378	23936.815207971	-0.015260113	1.783474483	78869.960467585	81719.587886716	79507.949838386	80280.932439394	81062.219872857	80286.315277465	934.038214943	0.014446536	1.783441301	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	34891.848266860	36531.770747664	35258.048719084	35702.472706776	36152.498611988	35706.103638322	537.526384781	0.016933123	1.783519605
2043	  12	-6835.603669470	-6536.704431500	-6766.480912044	-6684.459360918	-6603.454594233	-6685.118398505	97.971847101	-0.016862718	1.783517093	-941419.421679528	-865004.144388601	-923774.476699464	-902816.585571563	-882095.806060289	-902970.271517024	25046.989922076	-0.015381510	1.783477509	75885.833695624	78616.394635995	76497.194136006	77237.891442542	77986.522182863	77243.033555614	895.011144207	0.014402245	1.783439994	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	33186.685986396	34746.465565748	33534.990247125	33957.695264399	34385.728433860	33961.148752564	511.257506473	0.016933123	1.783519605
2044	   3	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	-941662.408772001	-941662.408772001	0	-941662.408772001	0	-941662.408772001	0.000000000	0.000000000	0.000000000	75642.846603151	75642.846603151	0	75642.846603151	0	75642.846603151	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	33048.408128120	33048.408128120	0	33048.408128120	0	33048.408128120	0.000000000	0.000000000	0.000000000
